log_date,incident,reported,nature,incident_address,nature_description,date,grouped_nature
01.03.2026,260100065,2026-01-03 00:21:32,DISTURB NOISE,4095 FRUIT ST # 723,Disturbance - Noise,2026-01-03,Disturbance
01.03.2026,260100066,2026-01-03 00:35:55,TRAFFIC ENFORCE,2300 ARROW HWY; GATE 15,Traffic Enforcement,2026-01-03,Traffic Enforcement
01.03.2026,260100067,2026-01-03 01:01:13,911 INVEST,1933 EVERGREEN ST,911 Investigation,2026-01-03,Other
01.03.2026,260100068,2026-01-03 01:04:43,FOOT PATROL,3660 D ST; CITY HALL,Foot Patrol,2026-01-03,Other
01.03.2026,260100069,2026-01-03 01:38:55,TRAFFIC ENFORCE,1911 FOOTHILL BLVD,Traffic Enforcement,2026-01-03,Traffic Enforcement
01.03.2026,260100072,2026-01-03 08:59:58,AREA CHECK,1496 ARROW HWY,Area Check,2026-01-03,Other
01.03.2026,260100073,2026-01-03 09:01:59,CODE H SUBJ,2269 FOOTHILL BLVD; MCDONALDS,5150 Welfare and Institutions Code Subject,2026-01-03,Welfare/Assist
01.03.2026,260100074,2026-01-03 09:44:24,CODE H SUBJ,1181 FOOTHILL BLVD; STARBUCKS WEST,5150 Welfare and Institutions Code Subject,2026-01-03,Welfare/Assist
01.03.2026,260100078,2026-01-03 13:37:49,PDOBS,2371 FOOTHILL BLVD; PANDA EXPRESS,Police Department Observed Suspicious Circumstances,2026-01-03,Suspicious Circumstances
01.03.2026,260100079,2026-01-03 15:17:32,SUSP SUBJ,WHITE AVE & SIERRA WAY,Suspicious Subjects,2026-01-03,Suspicious Subjects
01.03.2026,260100080,2026-01-03 15:37:39,PDOBS,WHITE AVE & COLLEGE LN,Police Department Observed Suspicious Circumstances,2026-01-03,Suspicious Circumstances
01.03.2026,260100085,2026-01-03 18:08:45,SUSP SUBJ,5562 ROTARY DR,Suspicious Subjects,2026-01-03,Suspicious Subjects
01.03.2026,260100084,2026-01-03 18:39:05,WELFARE CHECK,5094 CADLEY DR,Welfare Check,2026-01-03,Welfare/Assist
01.03.2026,260100088,2026-01-03 21:40:27,TRAFFIC HAZARD,FOOTHILL BLVD & WHEELER AVE,Traffic Hazard,2026-01-03,Traffic Enforcement
01.03.2026,260100091,2026-01-03 23:25:41,PDOBS,5400 WHEELER AVE; OAK MESA PARK,Police Department Observed Suspicious Circumstances,2026-01-03,Suspicious Circumstances
