log_date,incident,reported,nature,incident_address
01.01.2026,260100001,00:17:53 01/01/26,DISTURB FIREWKS,743 DOGWOOD DR
01.01.2026,260100002,02:42:41 01/01/26,SUSP VEHICLE,1910 WHITE AVE
01.01.2026,260100008,05:59:12 01/01/26,911 INVEST,5570 ROTARY DR
01.01.2026,260100010,09:24:58 01/01/26,911 INVEST,2269 FOOTHILL BLVD; MCDONALDS
01.01.2026,260100012,10:12:57 01/01/26,SUSP VEHICLE,2026 TWELFTH ST
01.01.2026,260100013,11:21:45 01/01/26,GTARPT,2855 FOOTHILL BLVD # G306
01.01.2026,260100014,13:15:04 01/01/26,PETTY THEFT RPT,2090 FOOTHILL BLVD; STATER BROS
01.01.2026,260100015,13:59:51 01/01/26,DISTURB SHOTS,CLEAR FALLS AVE & DIVOT DR
01.01.2026,260100016,16:31:27 01/01/26,WELFARE CHECK,FOOTHILL BLVD & D ST
01.01.2026,260100018,17:23:17 01/01/26,CODE H SUBJ,2090 FOOTHILL BLVD; STATER BROS
01.01.2026,260100019,17:27:15 01/01/26,CODE H SUBJ,1375 FOOTHILL BLVD; SPROUTS
01.01.2026,260100020,18:22:32 01/01/26,911 INVEST,2758 MOUNTAIN VIEW DR
01.01.2026,260100021,18:29:25 01/01/26,CODE H SUBJ,2090 FOOTHILL BLVD; STATER BROS
01.01.2026,260100022,19:09:32 01/01/26,FOOT PATROL,2462 FOOTHILL BLVD; TARGET
01.01.2026,260100023,19:14:56 01/01/26,ANIMAL BITE RPT,2421 FOOTHILL BLVD # 27A
01.01.2026,260100026,21:10:16 01/01/26,DISTURB SUBJS,1861 WALNUT ST
01.01.2026,260100028,23:26:57 01/01/26,FOOT PATROL,3660 D ST; CITY HALL
01.01.2026,260100029,23:53:10 01/01/26,TRAFFIC ENFORCE,1911 FOOTHILL BLVD
01.02.2026,260100030,00:50:15 01/02/26,FOUND PROP,2510 FOOTHILL BLVD; REBEL GAS
01.02.2026,260100034,02:53:22 01/02/26,BURGLARY IP/JO,1941 WHITE AVE; PAPER PAK INDUSTRIES
01.02.2026,260100035,04:09:28 01/02/26,TRAFFIC STOP,SIERRA WAY & MIRAMONTE DR
01.02.2026,260100036,08:03:12 01/02/26,FOUND PROP,2443 FOOTHILL BLVD
01.02.2026,260100037,08:32:49 01/02/26,TRAFFIC STOP,WHEELER AVE & FOOTHILL BLVD
01.02.2026,260100038,09:08:21 01/02/26,PDOBS,ARROW HWY & FULTON RD
01.02.2026,260100040,09:13:24 01/02/26,FOUND PROP,2541 JASMINE CT
01.02.2026,260100039,09:54:26 01/02/26,TC VEH VS PED,B ST & FOOTHILL BLVD
01.02.2026,260100042,10:27:43 01/02/26,CITIZEN ASST,1245 FOOTHILL BLVD; AT&T STORE
01.02.2026,260100041,10:37:01 01/02/26,ILLEGAL PARKER,2244 FOOTHILL BLVD; CHUZE FITNESS
